,concept_name_id,concept_id,name,locale,locale_preferred,creator,date_created,concept_name_type,voided,voided_by,date_voided,void_reason,uuid,date_changed,changed_by
0,1,1,Vero,it,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,e0ff857f-0813-4352-b87d-5399ed62642a,2019-07-24 19:51:10,2.0
1,2,1,Sì,it,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,0cb29656-4572-4d7f-98b3-7aa095944a17,2019-07-24 19:51:10,2.0
2,3,1,Verdadeiro,pt,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,5c623ecc-c63c-4753-8e5e-178933b79351,2019-07-24 19:51:10,2.0
3,4,1,Sim,pt,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,998a49c7-e74f-43b5-9cdb-f8ba84705cf7,2019-07-24 19:51:10,2.0
4,5,1,Vrai,fr,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,52b6f620-d68c-4fdd-bb5f-e6d1af800d35,2019-07-24 19:51:10,2.0
5,6,1,Oui,fr,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,87d9f2a5-8393-4a2d-a8a7-eb9409e151fa,2019-07-24 19:51:10,2.0
6,7,1,True,en,1,1,2016-07-07 08:14:50,FULLY_SPECIFIED,1,2.0,2019-07-24 19:51:10,metadata deploy,b52447e4-5980-46f6-bc1a-3862fe6e3840,2019-07-24 19:51:10,2.0
7,8,1,Yes,en,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,e7973d60-7698-49c2-a8d7-cda2a9621926,2019-07-24 19:51:10,2.0
8,9,1,Verdadero,es,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,2c39345f-a099-4816-8ac2-7ad1424898c3,2019-07-24 19:51:10,2.0
9,10,1,Sí,es,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,f3d6b4b1-b5be-4c98-8e5a-1bc15585ed7c,2019-07-24 19:51:10,2.0
10,11,2,Falso,it,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,9aacada7-48db-4938-baef-b282fb162f76,2019-07-24 19:51:10,2.0
11,12,2,No,it,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,331de197-4b1f-4a07-af88-90b00b54da14,2019-07-24 19:51:10,2.0
12,13,2,Falso,pt,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,7937a109-24b5-4908-b78b-e6f39d490194,2019-07-24 19:51:10,2.0
13,14,2,Não,pt,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,69f96b20-ad2b-4ec1-abfd-1c911dd57478,2019-07-24 19:51:10,2.0
14,15,2,Faux,fr,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,6367664c-9307-468d-a1a3-31fd1e14c2e4,2019-07-24 19:51:10,2.0
15,16,2,Non,fr,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,c59177e6-3ba2-4888-a277-db3bd01d3bcd,2019-07-24 19:51:10,2.0
16,17,2,False,en,1,1,2016-07-07 08:14:50,FULLY_SPECIFIED,1,2.0,2019-07-24 19:51:10,metadata deploy,b53bb5a7-6b36-43bf-bc75-21d72c8c73d2,2019-07-24 19:51:10,2.0
17,18,2,No,en,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,81528cfc-cbae-4216-a977-4d28415a86b2,2019-07-24 19:51:10,2.0
18,19,2,Falso,es,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,dcb944aa-7eb4-498c-a770-42417a533a6a,2019-07-24 19:51:10,2.0
19,20,2,No,es,0,1,2016-07-07 08:14:50,,1,2.0,2019-07-24 19:51:10,metadata deploy,bad743b8-2573-4100-bd27-18cbc28aac1e,2019-07-24 19:51:10,2.0
20,21,3,ATT DEFAULT ATTACHMENT,en,1,2,2019-07-24 19:51:07,FULLY_SPECIFIED,0,,,,f8abd042-1429-4dd3-a955-40c5b449d333,,
21,22,4,ATT IMAGE ATTACHMENT,en,1,2,2019-07-24 19:51:07,FULLY_SPECIFIED,0,,,,05f94140-302c-41b1-a22a-8381181395ac,,
22,23,1,Yes,en,1,2,2015-04-22 09:28:44,FULLY_SPECIFIED,0,,,,3e15161e-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
23,24,1,Oui,fr,1,2,2015-04-22 09:28:44,FULLY_SPECIFIED,0,,,,0b931af0-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
24,25,1,Wi,ht,1,2,2015-04-22 09:28:44,FULLY_SPECIFIED,0,,,,541f1720-0abe-49dd-b4f6-7de87ce05917,2021-04-14 18:42:09,2.0
25,26,2,No,en,1,2,2015-04-22 09:28:45,FULLY_SPECIFIED,0,,,,3e151786-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
